"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000259459",11.49948277198,2.55613163331329,0.277233517926865,9.22013922568919,2.96714702719949e-20,1.35467038114035e-18
"ENSG00000215874",2.38045218924008,2.30553198138208,0.737062292161047,3.12800153515155,0.00175999262041755,0.00773616770550086
"ENSG00000232964",1.81311352956208,-2.11324959774937,0.538511800426784,-3.92424009292752,8.70039328620651e-05,0.000524943077651082
"ENSG00000242779",180.546691061513,2.13060824902545,0.304621018161673,6.99429166734208,2.66602416950459e-12,5.35416362767849e-11
"ENSG00000170279",0.803674309975127,2.79032997228592,0.843928075495704,3.30635992960294,0.000945165925379571,0.00447781459285758
"ENSG00000187608",99.3145446504518,2.42647915506269,0.247163438525872,9.81730619032759,9.48440856296864e-23,5.47124033931701e-21
"ENSG00000239473",1.19507125412271,2.48972029631438,0.760110804186359,3.27547021118775,0.00105486238417969,0.00493365587562717
"ENSG00000187855",0.932735191998907,-2.54351091954852,0.983550497618136,-2.58605015777852,0.00970828019000681,0.0340443078241491
"ENSG00000187546",13.2032405380957,-2.61789866835272,0.256456429290819,-10.2079666148048,1.82652372534638e-24,1.22620360225382e-22
"ENSG00000214128",1.261439171936,-2.45613662458321,0.714344537905442,-3.43830811919545,0.000585361225952243,0.00292509371271796
"ENSG00000269837",12.8900908014824,3.89210646620566,1.50208916812404,2.59112877504238,0.0095661687736126,0.0335996106102658
"ENSG00000109511",71.6994695050499,2.01689799345863,0.143119182871755,14.0924364783853,4.2272141689993e-45,1.07416656243158e-42
"ENSG00000223914",52.4492098027742,2.54248700047719,0.172575851201177,14.7325769091142,3.98226397375678e-49,1.27544448334479e-46
"ENSG00000151364",92.8950974349572,4.58440347517363,0.332350271055125,13.7938911878102,2.77385055696305e-43,6.41260023119872e-41
"ENSG00000124657",8.17870997542986,3.17431138590078,1.18873439265442,2.67032854901472,0.00757770597872858,0.0275371381311863
"ENSG00000178075",608.066267328059,-2.32692015780358,0.132663403007696,-17.5400306719751,7.0889123446298e-69,6.81133712063539e-66
"ENSG00000237989",13.5254041551256,2.30566928119531,0.254488637040264,9.06000876113978,1.30440078667668e-19,5.63292289156569e-18
"ENSG00000144730",9.93126070473033,2.92716124240484,0.323403686878854,9.05110659267575,1.41526712849737e-19,6.06061537603182e-18
"ENSG00000105996",1.45826154212571,3.24399419626743,1.42761619330442,2.27231535442222,0.0230674700729741,0.0705646987882949
